Date,AAPL,MSFT,TSLA
2019-01-02,37.57521057128906,94.94551086425781,20.674667358398438
2019-01-03,33.83243942260742,91.45264434814453,20.02400016784668
2019-01-04,35.27672576904297,95.70604705810547,21.179332733154297
2019-01-07,35.198204040527344,95.8281021118164,22.33066749572754
2019-01-08,35.86919403076172,96.5229263305664,22.356666564941406
2019-01-09,36.47832107543945,97.90315246582031,22.568666458129883
2019-01-10,36.59489440917969,97.27408599853516,22.99799919128418
2019-01-11,36.235618591308594,96.5229263305664,23.150667190551758
2019-01-14,35.69074630737305,95.81871032714844,22.293333053588867
2019-01-15,36.421207427978516,98.59797668457031,22.961999893188477
2019-01-16,36.866153717041016,98.94540405273438,23.06999969482422
2019-01-17,37.08504867553711,99.64020538330078,23.15399932861328
2019-01-18,37.313472747802734,101.13311767578125,20.150667190551758
2019-01-22,36.4759407043457,99.22708129882812,19.92799949645996
2019-01-23,36.623451232910156,100.1941909790039,19.172666549682617
2019-01-24,36.333168029785156,99.71531677246094,19.43400001525879
2019-01-25,37.53713607788086,100.6260986328125,19.80266761779785
2019-01-28,37.18974304199219,98.6637191772461,19.7586669921875
2019-01-29,36.804290771484375,96.65437316894531,19.83066749572754
2019-01-30,39.31930160522461,99.88433837890625,20.584667205810547
2019-01-31,39.602439880371094,98.05340576171875,20.468000411987305
2019-02-01,39.62147521972656,96.50413513183594,20.81399917602539
2019-02-04,40.746917724609375,99.2834243774414,20.859333038330078
2019-02-05,41.44408416748047,100.67305755615234,21.42333221435547
2019-02-06,41.45835494995117,99.55572509765625,21.148000717163086
2019-02-07,40.673160552978516,98.84209442138672,20.500667572021484
2019-02-08,40.72096252441406,99.2176742553711,20.386667251586914
2019-02-11,40.48677444458008,98.82331848144531,20.856000900268555
2019-02-12,40.83565139770508,100.3631820678711,20.78733253479004
2019-02-13,40.66599655151367,100.2880859375,20.544666290283203
2019-02-14,40.814151763916016,100.37258911132812,20.251333236694336
2019-02-15,40.723350524902344,101.61197662353516,20.525333404541016
2019-02-19,40.84522247314453,101.56503295898438,20.375999450683594
2019-02-20,41.108070373535156,101.03697967529297,20.17066764831543
2019-02-21,40.87627029418945,103.16806030273438,19.415332794189453
2019-02-22,41.33269500732422,104.63904571533203,19.6473331451416
2019-02-25,41.63378143310547,105.22367095947266,19.917999267578125
2019-02-26,41.657676696777344,105.94973754882812,19.857332229614258
2019-02-27,41.786712646484375,105.77058410644531,20.982667922973633
2019-02-28,41.375701904296875,105.63858032226562,21.325332641601562
2019-03-01,41.81061935424805,106.11006164550781,19.652666091918945
2019-03-04,42.02088928222656,105.8554458618164,19.02400016784668
2019-03-05,41.94441604614258,105.3274154663086,18.43600082397461
2019-03-06,41.70307159423828,105.3745346069336,18.416000366210938
2019-03-07,41.220375061035156,104.0921401977539,18.439332962036133
2019-03-08,41.318355560302734,104.2052993774414,18.94266700744629
2019-03-11,42.74971389770508,106.3929214477539,19.39466667175293
2019-03-12,43.23001480102539,107.13784790039062,18.890666961669922
2019-03-13,43.421180725097656,107.9676513671875,19.263999938964844
2019-03-14,43.90389633178711,108.05250549316406,19.33066749572754
2019-03-15,44.47499465942383,109.2972183227539,18.36199951171875
2019-03-18,44.92902374267578,110.86250305175781,17.965999603271484
2019-03-19,44.57296371459961,110.93793487548828,17.83133316040039
2019-03-20,44.962467193603516,110.81535339355469,18.239999771118164
2019-03-21,46.61845779418945,113.361328125,18.26799964904785
2019-03-22,45.653072357177734,110.37216186523438,17.635332107543945
2019-03-25,45.101070404052734,110.94737243652344,17.3613338470459
2019-03-26,44.63510513305664,111.18312072753906,17.851333618164062
2019-03-27,45.03655242919922,110.10814666748047,18.32200050354004
2019-03-28,45.09629440307617,110.25900268554688,18.57466697692871
2019-03-29,45.39020919799805,111.21138000488281,18.657333374023438
2019-04-01,45.69846725463867,112.22978973388672,19.278667449951172
2019-04-02,46.36276626586914,112.39008331298828,19.058666229248047
2019-04-03,46.68058776855469,113.1255874633789,19.45400047302246
2019-04-04,46.76182556152344,112.55037689208984,17.851999282836914
2019-04-05,47.07486343383789,113.05014038085938,18.33066749572754
2019-04-08,47.815635681152344,113.08786010742188,18.213333129882812
2019-04-09,47.672264099121094,112.47493743896484,18.15399932861328
2019-04-10,47.93988800048828,113.33305358886719,18.40399932861328
2019-04-11,47.54083251953125,113.46505737304688,17.89466667175293
2019-04-12,47.5217170715332,114.0496597290039,17.84666633605957
2019-04-15,47.60774230957031,114.14398956298828,17.7586669921875
2019-04-16,47.61252212524414,113.87993621826172,18.224000930786133
2019-04-17,48.5396842956543,114.82286834716797,18.082000732421875
2019-04-18,48.714134216308594,116.33161163330078,18.21733283996582
2019-04-22,48.874237060546875,116.69937896728516,17.516666412353516
2019-04-23,49.579166412353516,118.28353118896484,17.593332290649414
2019-04-24,49.502685546875,117.8780517578125,17.243999481201172
2019-04-25,49.05344772338867,121.7818603515625,16.5086669921875
2019-04-26,48.81925964355469,122.47965240478516,15.675999641418457
2019-04-29,48.893348693847656,122.36650085449219,16.097999572753906
2019-04-30,47.951847076416016,123.14912414550781,15.912667274475098
2019-05-01,50.305599212646484,120.58432006835938,15.600666999816895
2019-05-02,49.97821807861328,119.00959014892578,16.273332595825195
2019-05-03,50.599510192871094,121.5461196899414,17.00200080871582
2019-05-06,49.818111419677734,120.8388900756836,17.022666931152344
2019-05-07,48.475181579589844,118.35894012451172,16.470666885375977
2019-05-08,48.48472213745117,118.3495101928711,16.32266616821289
2019-05-09,47.96379089355469,118.34010314941406,16.131999969482422
